Time (s),CPU Load (%)
0,0.0
1,11.831118684037122
2,14.830933617334047
3,11.728011332247464
4,30.72376643759417
5,7.6078408454084485
6,6.352264516198215
7,7.433625083344522
8,8.643654345488555
9,7.898647030714367
10,9.376722095046247
11,19.211590895080466
12,15.543249163861212
13,11.445733049067847
14,14.707038533734988
15,13.943824962049748
16,14.002965495914367
17,12.058280605247335
18,12.946951402515587
19,15.967507763466692
20,14.614606016119819
21,11.982115958718085
22,14.53953331187871
23,14.052610414625804
24,19.318341780262795
25,15.37445857996267
26,15.597491372992708
27,11.33513396071538
28,14.231263162667116
29,8.620949014833954
30,16.26820455741497
31,12.390058727555157
32,16.05120996724141
33,12.41643519277601
34,15.377221749980302
35,14.821778235324876
36,15.330549528922006
37,11.081269088718896
38,12.991782710149407
39,14.19272953619282
40,14.877961349970223
41,14.910904348279473
42,15.839801077141795
43,11.26196647260479
44,17.04946594684315
45,15.320106057949504
46,15.251017096046168
47,13.22627608003207
48,14.246054841846565
49,12.926960919787469
50,14.246810160454741
51,12.448584131241763
52,13.70374582170438
53,15.727875862989125
54,14.280895512413784
55,14.589318791347234
56,12.985078084670125
57,12.81497230251332
58,11.090288424910327
59,13.738378923321655
60,14.295651953055508
61,8.465424606066385
62,4.485444627508089
63,14.33758155150796
