Time (s),CPU Load (%)
0,0.0
1,17.06102117061021
2,22.09737827715356
3,19.70074812967581
4,9.600997506234414
5,9.66542750929368
6,10.125
7,8.59277708592777
8,12.5
9,21.242236024844722
10,11.889862327909889
11,13.878562577447337
12,9.975062344139651
13,12.891113892365457
14,12.437810945273633
15,12.718204488778055
16,12.390488110137673
17,14.054726368159203
18,13.523573200992555
19,13.607990012484395
20,14.054726368159203
21,13.325031133250311
22,12.967581047381547
23,17.353308364544322
24,11.72069825436409
25,13.027295285359802
26,13.642052565707132
27,14.161490683229813
28,13.930348258706468
29,12.85892634207241
30,13.698630136986301
31,11.75
32,13.557213930348258
33,13.48314606741573
34,12.577833125778332
35,12.79503105590062
36,12.702366127023662
37,13.715710723192021
38,13.540372670807454
39,13.092269326683292
40,10.137672090112641
41,13.432835820895523
42,5.860349127182045
43,8.333333333333332
44,12.919254658385093
45,12.734082397003746
46,12.51564455569462
47,13.506815365551425
48,12.891113892365457
49,14.745972738537795
50,13.732833957553058
51,12.967581047381547
52,12.094763092269327
53,12.204234122042342
54,13.059701492537313
55,13.391739674593243
56,12.531017369727046
57,12.891113892365457
58,14.161490683229813
59,13.25
60,12.935323383084576
61,12.734082397003746
62,11.27633209417596
63,12.030075187969924
64,12.155388471177945
65,14.356435643564355
66,14.33915211970075
67,13.681592039800993
68,12.344139650872817
69,13.788819875776397
70,12.468827930174564
71,13.092269326683292
72,12.56218905472637
73,12.484394506866417
74,13.540372670807454
75,12.85892634207241
76,13.875000000000002
77,13.805970149253731
78,12.935323383084576
79,13.449564134495642
80,13.840399002493767
81,13.308457711442786
82,13.032581453634084
83,13.41614906832298
84,12.56218905472637
85,13.092269326683292
86,12.640801001251564
87,13.059701492537313
88,13.681592039800993
89,13.167701863354036
90,13.625000000000002
91,13.325031133250311
92,12.781954887218044
93,12.747524752475247
94,11.985018726591761
95,12.064676616915424
96,13.059701492537313
97,13.0
98,12.219451371571072
99,12.810945273631841
100,13.216957605985039
101,13.151364764267989
102,12.32876712328767
103,12.531328320802004
104,13.523573200992555
105,13.732833957553058
106,13.016270337922403
107,12.95143212951432
108,12.875
109,11.677018633540373
110,13.07596513075965
111,12.56218905472637
112,13.399503722084367
113,13.5
114,12.468827930174564
115,13.341645885286782
116,13.059701492537313
117,11.940298507462686
118,13.892365456821027
119,12.204234122042342
120,13.48314606741573
121,12.406015037593985
122,12.359550561797752
123,13.698630136986301
124,13.308457711442786
125,12.204234122042342
126,13.432835820895523
127,12.531328320802004
128,12.826899128268993
129,13.20049813200498
130,13.2334581772784
131,12.967581047381547
132,12.718204488778055
133,12.625
134,13.506815365551425
135,12.125
136,12.826899128268993
137,12.079701120797012
138,12.0
139,9.925558312655088
140,13.07596513075965
141,10.473815461346634
142,12.5
143,12.686567164179104
144,13.184079601990051
145,13.125
146,13.291925465838508
147,12.32876712328767
148,12.8428927680798
149,14.518147684605756
150,12.734082397003746
151,12.60923845193508
152,12.95143212951432
153,13.48314606741573
154,12.296110414052698
155,14.1439205955335
156,13.184079601990051
157,12.60923845193508
158,12.95143212951432
159,11.677018633540373
160,12.298136645962733
161,12.60923845193508
162,13.399503722084367
163,12.779156327543426
164,10.199004975124378
165,12.891113892365457
166,12.702366127023662
167,12.935323383084576
168,11.845386533665836
169,13.947696139476962
170,13.698630136986301
171,11.925465838509316
172,13.625000000000002
173,13.557213930348258
174,12.468827930174564
175,13.016270337922403
176,12.593516209476311
177,12.995049504950495
178,12.75
179,13.341645885286782
180,11.860174781523096
181,13.557213930348258
182,12.826899128268993
183,12.375
184,14.33915211970075
185,13.48314606741573
186,12.40694789081886
187,13.174404015056462
188,12.01982651796778
189,12.56218905472637
190,10.875
191,12.76595744680851
192,11.166253101736972
193,13.108614232209737
194,12.173913043478262
195,11.5
196,13.506815365551425
197,10.736579275905118
198,12.8428927680798
199,13.57409713574097
200,12.623762376237623
201,12.109862671660425
202,12.593516209476311
203,13.449564134495642
204,13.91304347826087
205,11.235955056179774
206,12.265331664580724
207,13.027295285359802
208,12.702366127023662
209,12.577833125778332
210,12.51564455569462
211,13.216957605985039
212,13.07596513075965
213,13.308457711442786
214,13.25
215,11.970074812967582
216,12.935323383084576
217,12.718204488778055
218,13.07596513075965
219,11.442786069651742
220,13.76720901126408
221,10.460772104607722
222,11.055900621118013
223,12.468827930174564
224,11.235955056179774
225,11.442786069651742
226,12.95143212951432
227,12.219451371571072
228,13.715710723192021
229,12.5
230,12.531017369727046
231,13.059701492537313
232,12.875
233,12.204234122042342
234,11.528822055137844
235,12.718204488778055
236,12.656641604010025
237,12.189054726368159
238,14.374999999999998
239,13.308457711442786
240,13.167701863354036
241,12.14017521902378
242,11.677018633540373
243,19.07730673316708
244,17.5
245,13.20049813200498
246,12.313432835820896
247,13.41614906832298
248,14.786967418546364
249,18.375
250,14.55223880597015
251,13.76720901126408
252,8.88610763454318
253,13.20049813200498
254,13.647642679900745
255,13.382899628252787
256,12.60923845193508
257,13.625000000000002
258,8.863920099875156
259,0.7444168734491315
